keys,ru,en
menu.multiplayer.guide,"Игра поддерживает совместный мультиплеер. Для начала игроки должны подключиться к одной сети, выбрать уровень, на котором будут играть, и игрока, который будет выступать в роли сервера. Он заходит на выбранный уровень, и рядом с кнопкой ""Играть"" нажимает стрелочку, затем ""Создать комнату..."". Другие игроки тем временем выбирают тот же уровень, нажимают ту же стрелочку, но уже ""Присоединиться..."". Есть два способа подключения:
1. По IP-адресу. Традиционный и надёжный. IP виден на экране сервера.
2. Автоматический. Сканирует все IP в локальной сети. Может не сработать.
Всех подключённых игроков можно увидеть на экране. Когда все присоединятся, сервер начинает игру. Максимум игроков - 4.
После окончания игры (победой или поражением) комнату нужно создавать заново. Но вводить IP или ждать конца сканирования снова не придётся - всё кэшируется в пределах одной игровой сессии. Хорошего времяпровождения!
Также многопользовательской является мини-игра ""2Д-шутер""","This game supports cooperative multiplayer. To begin with, players must connect to same network, choose the level at which they will play, and the player who will act as a server. He goes to the selected level, and next to ""Play"" button presses an arrow, then ""Create room..."". Other players meanwhile choose the same level, press the same arrow, but ""Join..."" button. There are two ways to connect:
1. By IP address. Traditional and reliable. The IP is visible on the server screen.
2. Automatic. Scans all IP addresses on the local network. It may not work.
All connected players can be seen on the screen. When everyone joins, the server starts the game. Maximum of 4 players.
After the end of the game (victory or defeat), the room must be created anew. But you won't have to enter the IP or wait for the end of the scan again - everything is cached within one gaming session. Have a good time!
Also multiplayer is a mini-game ""2D shooter"""
menu.edu.0,"Здесь ты сможешь прокачивать свои классы, а также смотреть их способности, пользуясь кнопкой ""i"". Чтобы прокачать класс, нужно определённое количество жетонов и монет, и то, и другое падает из ящиков. Сами классы можно тоже получить из ящиков. А теперь вернись назад этой кнопкой!","Here you can upgrade your classes, as well as watch their abilities using ""i"" button. To upgrade a class, you need a certain number of tokens and coins, both of which drops from the boxes. The classes themselves can also be obtained from the boxes. And now go back with this button!"
menu.edu.1,"Это магазин, где ты можешь покупать ресурсы. Каждый день в полночь обновляются акции и награды за уровни, появляется подарок. Заходи каждый день, чтобы ничего не пропустить! Теперь вернись назад.","This is a shop where you can buy resources. Every day at midnight, offers and rewards for the levels are updated and a gift appears. Come in every day so you don't miss anything! Now go back."
menu.edu.2,"Я рассказал об основах. Ты можешь посмотреть историю и пройти обучение повторно, нажав кнопку ""?"" в левом верхнем углу. Нажми кнопку, чтобы завершить обучение. Удачи!","I told you about the basics. You can view the history and complete tutorial again by clicking the ""?"" button in the upper left corner. Press the button to complete the tutorial. Good luck!"
menu.edu.end,Завершить,Complete
amulet.amulet,Амулет,Amulet
menu.done,Готово,Done
shop.name,Магазин,Shop
classes.name,Классы,Classes
classes.tip.gadget,"Душевный навык — особая способность класса, которую можно использовать три раза за уровень. Можно найти в ящике.",Soul Skill is a special class ability that can be used 3 times per level. Can be found in a box.
classes.tip.sp,"Душевная сила — пассивная способность класса, которая действует всегда. Можно найти в ящике.",Soul Power is a passive ability of the class that always works. Can be found in a box.
classes.tip.amulet,"Амулеты — пассивная способность, которая повышает некоторые характеристики класса. Можно создать из фрагментов амулета.",Amulets are a passive ability that increases some class characteristics. You can create an amulet from fragments.
classes.try,Испытать,Try
classes.upgrade,Улучшить,Upgrade
menu.close,Закрыть,Close
reload.veryfast,ОЧЕНЬ БЫСТРАЯ,VERY FAST
reload.fast,БЫСТРАЯ,FAST
reload.normal,НОРМАЛЬНАЯ,NORMAL
reload.slow,МЕДЛЕННАЯ,SLOW
reload.veryslow,ОЧЕНЬ МЕДЛЕННАЯ,VERY SLOW
speed.veryhigh,ОЧЕНЬ ВЫСОКАЯ,VERY HIGH
speed.high,ВЫСОКАЯ,HIGH
speed.normal,НОРМАЛЬНАЯ,NORMAL
speed.low,НИЗКАЯ,LOW
none.attack.name,АТАКА: САМООБОРОНА,ATTACK: SELF-DEFENSE
none.attack.desc,"Герой делает два удара, один дальше и сильнее другого.","Hero makes two strikes, one farther and stronger than the other."
knight.attack.name,АТАКА: ВЗМАХ МЕЧОМ,ATTACK: SWING OF SWORD
knight.attack.desc,"Рыцарь атакует мечом, нанося урон всем попавшим в область атаки врагам.","Knight attacks with a sword, dealing damage to all enemies in the attack area."
knight.ulti.name,НАВЫК: ШКВАЛ,SKILL: FLURRY
knight.ulti.desc,Рыцарь делает мощные удары по случайным врагам.,Knight makes powerful strikes at random enemies.
butcher.attack.name,АТАКА: РУБКА МЯСА,ATTACK: MEAT CHOPPING
bucther.attack.desc,"Мясник с задержкой махает топором, нанося хороший урон.","Butcher swings the axe with a delay, causing good damage."
butcher.ulti.name,НАВЫК: УДАР,SKILL: SMASH
butcher.ulti.desc,Мясник наносит огромный урон одному врагу с наибольшим количеством здоровья.,Butcher deals massive damage to the one enemy with the most health.
spearman.attack.name,АТАКА: УДАР КОПЬЁМ,ATTACK: SPEAR STRIKE
spearman.attack.desc,"Копьеносец может либо кольнуть копьём вблизи, либо его метнуть. Урон всегда одинаковый.","Spearman can either stab a spear near, or throw it. The damage is always the same."
spearman.ulti.name,НАВЫК: ОГЛУШЕНИЕ,SKILL: STUN
spearman.ulti.desc,Копьеносец оглушает ближайшего врага и наносит ему урон.,Spearman stuns the nearest enemy and deals damage to him.
wizard.attack.name,АТАКА: МАГИЯ ПОСОХА,ATTACK: STAFF MAGIC
wizard.attack.desc,"Маг стреляет во врага магической сферой. Также можно ударить посохом, но урон будет ниже.","Wizard shoots the enemy with a magic sphere. You can also hit with a staff, but the damage will be lower."
wizard.ulti.name,НАВЫК: ЛЕЧЕНИЕ,SKILL: HEAL
wizard.ulti.desc,"Маг исцеляет себя и союзников поблизости, а также наносит небольшой урон всем врагам поблизости.","The magician heals himself and allies nearby, and also deals small damage to all enemies nearby."
archer.attack.name,АТАКА: ПРИЦЕЛЬНЫЙ ВЫСТРЕЛ,ATTACK: PRECISE SHOT
archer.attack.desc,"Лучник натягивает лук. Чем дольше натягивал, тем больше скорость и урон стрелы. Также можно ударить луком, но урон будет ниже.","Archer pulls the bow. The longer he pulled, the greater the speed and damage of the arrow. You can also hit with a bow, but the damage will be lower."
archer.ulti.name,НАВЫК: НАЛЁТ,SKILL: BLITZ
archer.ulti.desc,Лучник наносит урон всем врагам поблизости.,Archer deals damage to all enemies nearby.
shop.notenough,Недостаточно ресурсов для покупки!,Not enough resources!
shop.potinfo.title,Информация о зелье,Potion information
shop.potinfo.1,Восстанавливает 20% от максимального здоровья.,Heals 20% of max health.
shop.potinfo.2,Восстанавливает 40% от максимального здоровья.,Heals 40% of max health.
shop.potinfo.3,Восстанавливает 60% от максимального здоровья.,Heals 60% of max health.
shop.tip.pot1,"Зелья нужны для быстрого исцеления. Ты можешь иметь максимум пять зелий каждого вида. Нажми на иконку зелья во время игры, чтобы его использовать.",Potions are needed for quick healing. You can have a maximum of five potions of each kind. Click on the potion icon during the game to use it.
shop.tip.tickets,"Билеты нужны для мини-игр. Использовав билет и сыграв, ты можешь хорошие получить награды!","Tickets are needed for mini-games. By using the ticket and playing, you can get good rewards!"
shop.confirm,Подтверждение покупки…,Please confirm...
shop.error,Ошибка!,Error!
shop.error.text,Ошибка покупки!,Error while purchasing!
shop.resources,РЕСУРСЫ,RESOURCES
shop.promocodes,ПРОМОКОДЫ,PROMOCODES
shop.promocodes.go,Открыть,Open
shop.noads,БЕЗ РЕКЛАМЫ,REMOVE ADS
shop.noads.tip,Поддержи нас!,Support us!
shop.other,ПРОЧЕЕ,OTHER
shop.500gems,500 КРИСТАЛЛОВ,500 GEMS
shop.1250gems,1250 КРИСТАЛЛОВ,1250 GEMS
shop.2500gems,2500 КРИСТАЛЛОВ,2500 GEMS
shop.2250coins,2250 МОНЕТ,2250 COINS
shop.4500coins,4500 МОНЕТ,4500 COINS
shop.9000coins,9000 МОНЕТ,9000 COINS
shop.10tickets,10 БИЛЕТОВ,10 TICKETS
shop.25tickets,25 БИЛЕТОВ,25 TICKETS
shop.40tickets,40 БИЛЕТОВ,40 TICKETS
compensation.title,Компенсация,Compensation
compensation.desc,"На этом сохранении были куплены мини-игры за монеты. Поскольку их больше не надо покупать из-за добавления билетов, забери компенсацию: билеты (%d).","On this save, mini-games were bought for coins. Since they no longer need to be bought due to the addition of tickets, take the compensation: tickets (%d)."
